cloudsc_expanded.pcode Loop 112: UNSAT (Time: 0.1170s, Quantifiers: 3, Atoms: 11, Size: 23, Vars: 11, Arrays: 0)
cloudsc_expanded.pcode Loop 113: UNSAT (Time: 0.1230s, Quantifiers: 2, Atoms: 7, Size: 16, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 114: UNSAT (Time: 0.1179s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 115: UNSAT (Time: 0.1053s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 116: UNSAT (Time: 0.1253s, Quantifiers: 2, Atoms: 9, Size: 18, Vars: 9, Arrays: 0)
cloudsc_expanded.pcode Loop 117: SAT (Time: 0.1148s, Quantifiers: 2, Atoms: 7, Size: 16, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 118: UNSAT (Time: 0.1197s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 119: SAT (Time: 0.1288s, Quantifiers: 3, Atoms: 7, Size: 19, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 120: SAT (Time: 0.1269s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 121: UNSAT (Time: 0.1173s, Quantifiers: 2, Atoms: 7, Size: 16, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 122: UNSAT (Time: 0.1163s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 123: UNSAT (Time: 0.1365s, Quantifiers: 2, Atoms: 7, Size: 16, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 124: UNSAT (Time: 0.1241s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 125: UNKNOWN/TIMEOUT. Retrying with aggressive=True...
cloudsc_expanded.pcode Loop 126: UNSAT (Time: 0.1025s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 127: UNKNOWN/TIMEOUT. Retrying with aggressive=True...
cloudsc_expanded.pcode Loop 128: SAT (Time: 0.0976s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 129: SAT (Time: 0.0986s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 130: UNSAT (Time: 0.1134s, Quantifiers: 2, Atoms: 7, Size: 16, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 131: UNSAT (Time: 0.1144s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 132: UNKNOWN/TIMEOUT. Retrying with aggressive=True...
cloudsc_expanded.pcode Loop 133: SAT (Time: 0.1027s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 134: UNSAT (Time: 0.1002s, Quantifiers: 1, Atoms: 5, Size: 12, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 135: SAT (Time: 0.1037s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 136: SAT (Time: 0.1147s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 137: SAT (Time: 0.1044s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 138: SAT (Time: 0.1095s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 139: UNSAT (Time: 0.1228s, Quantifiers: 10, Atoms: 13, Size: 40, Vars: 13, Arrays: 0)
cloudsc_expanded.pcode Loop 140: UNSAT (Time: 0.1105s, Quantifiers: 10, Atoms: 12, Size: 39, Vars: 12, Arrays: 0)
cloudsc_expanded.pcode Loop 141: UNSAT (Time: 0.1123s, Quantifiers: 4, Atoms: 7, Size: 21, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 142: SAT (Time: 0.0994s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 143: UNSAT (Time: 0.1151s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 144: SAT (Time: 0.1140s, Quantifiers: 6, Atoms: 9, Size: 27, Vars: 9, Arrays: 0)
cloudsc_expanded.pcode Loop 145: UNSAT (Time: 0.1145s, Quantifiers: 4, Atoms: 7, Size: 21, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 146: SAT (Time: 0.1170s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 147: SAT (Time: 0.1180s, Quantifiers: 5, Atoms: 13, Size: 51, Vars: 13, Arrays: 0)
cloudsc_expanded.pcode Loop 148: UNSAT (Time: 0.1224s, Quantifiers: 5, Atoms: 12, Size: 48, Vars: 12, Arrays: 0)
cloudsc_expanded.pcode Loop 149: UNSAT (Time: 0.1204s, Quantifiers: 1, Atoms: 7, Size: 15, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 150: UNSAT (Time: 0.1091s, Quantifiers: 2, Atoms: 9, Size: 24, Vars: 9, Arrays: 0)
cloudsc_expanded.pcode Loop 151: UNSAT (Time: 0.1065s, Quantifiers: 1, Atoms: 8, Size: 18, Vars: 8, Arrays: 0)
cloudsc_expanded.pcode Loop 152: SAT (Time: 0.1069s, Quantifiers: 2, Atoms: 9, Size: 22, Vars: 9, Arrays: 0)
cloudsc_expanded.pcode Loop 153: SAT (Time: 0.1245s, Quantifiers: 2, Atoms: 8, Size: 19, Vars: 8, Arrays: 0)
cloudsc_expanded.pcode Loop 154: UNSAT (Time: 0.1510s, Quantifiers: 1, Atoms: 7, Size: 15, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 155: UNSAT (Time: 0.1372s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 156: SAT (Time: 0.1237s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 157: SAT (Time: 0.1279s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 158: SAT (Time: 0.0997s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 159: SAT (Time: 0.1057s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 160: UNKNOWN/TIMEOUT. Retrying with aggressive=True...
cloudsc_expanded.pcode Loop 161: SAT (Time: 0.0998s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 162: UNSAT (Time: 0.1049s, Quantifiers: 2, Atoms: 7, Size: 16, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 163: UNSAT (Time: 0.1087s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 164: UNSAT (Time: 0.1066s, Quantifiers: 2, Atoms: 7, Size: 16, Vars: 7, Arrays: 0)
cloudsc_expanded.pcode Loop 165: UNSAT (Time: 0.1003s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 166: UNSAT (Time: 0.1081s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 167: SAT (Time: 0.1061s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 168: SAT (Time: 0.0965s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 169: UNSAT (Time: 0.1025s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 170: UNSAT (Time: 0.0997s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 171: UNSAT (Time: 0.1029s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 172: UNSAT (Time: 0.1077s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 173: UNSAT (Time: 0.1057s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 174: UNSAT (Time: 0.1359s, Quantifiers: 1, Atoms: 5, Size: 10, Vars: 5, Arrays: 0)
cloudsc_expanded.pcode Loop 175: UNSAT (Time: 0.1089s, Quantifiers: 2, Atoms: 6, Size: 14, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 176: UNSAT (Time: 0.1120s, Quantifiers: 1, Atoms: 4, Size: 9, Vars: 4, Arrays: 0)
cloudsc_expanded.pcode Loop 177: UNSAT (Time: 0.1169s, Quantifiers: 1, Atoms: 3, Size: 8, Vars: 3, Arrays: 0)
cloudsc_expanded.pcode Loop 178: SAT (Time: 0.1189s, Quantifiers: 8, Atoms: 6, Size: 33, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 179: SAT (Time: 0.1209s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc_expanded.pcode Loop 180: UNSAT (Time: 0.1091s, Quantifiers: 2, Atoms: 6, Size: 14, Vars: 6, Arrays: 0)
cloudsc_expanded.pcode Loop 181: UNSAT (Time: 0.2145s, Quantifiers: 1, Atoms: 4, Size: 9, Vars: 4, Arrays: 0)
cloudsc.pcode Loop 0: UNSAT (Time: 0.1387s, Quantifiers: 2, Atoms: 6, Size: 14, Vars: 6, Arrays: 0)
cloudsc.pcode Loop 1: UNSAT (Time: 0.1225s, Quantifiers: 1, Atoms: 4, Size: 9, Vars: 4, Arrays: 0)
cloudsc.pcode Loop 2: UNSAT (Time: 0.1202s, Quantifiers: 2, Atoms: 8, Size: 17, Vars: 8, Arrays: 0)
cloudsc.pcode Loop 3: UNSAT (Time: 0.1085s, Quantifiers: 2, Atoms: 6, Size: 14, Vars: 6, Arrays: 0)
cloudsc.pcode Loop 4: UNSAT (Time: 0.1057s, Quantifiers: 1, Atoms: 4, Size: 9, Vars: 4, Arrays: 0)
cloudsc.pcode Loop 5: UNSAT (Time: 0.1151s, Quantifiers: 1, Atoms: 1, Size: 7, Vars: 1, Arrays: 0)
cloudsc.pcode Loop 6: SAT (Time: 0.1131s, Quantifiers: 1, Atoms: 0, Size: 2, Vars: 0, Arrays: 0)
cloudsc.pcode Loop 7: UNSAT (Time: 0.1219s, Quantifiers: 2, Atoms: 6, Size: 14, Vars: 6, Arrays: 0)
cloudsc.pcode Loop 8: UNSAT (Time: 0.1192s, Quantifiers: 1, Atoms: 4, Size: 9, Vars: 4, Arrays: 0)
